ID,Tip,Nume,Cantitate,PragAlerta,PretAchizitie,PretVanzare,VolumM3
1360,Electronice,[Electronice] Modul Transmisie LoRa Model 7,36,14,149.11,336.1,0.029
1361,Hardware,Trusa Tubulare Model 36,96,6,116.63,162.9,0.399
1362,Hardware,Set Imbusuri Model 36,45,11,243.93,340.91,0.248
1363,Electronice,[Electronice] Osciloscop Model 54,122,6,231.18,311.3,0.497
1364,Perisabile,[Perisabile] Adeziv Industrial Model 26,109,19,237.94,440.43,0.277
1365,Hardware,Trusa Tubulare Model 19,137,6,23.32,48.04,0.017
1366,Hardware,Trusa Tubulare Model 21,64,13,221.38,371.94,0.012
1367,Perisabile,[Perisabile] Solutie Curatare Frane Model 39,33,5,196.63,265.42,0.463
1368,Auto,Filtru Aer Model 73,114,18,133.92,294.38,0.382
1369,Hardware,Incarcator Gaz Model 78,49,5,232.45,367.06,0.35
1370,Electronice,[Electronice] Modul Transmisie LoRa Model 54,78,14,142.82,172.72,0.012
1371,Electronice,[Electronice] Modul Transmisie LoRa Model 89,57,11,123.49,178.08,0.078
1372,Electronice,[Electronice] Sursa Laborator Model 29,98,8,195.14,424.04,0.201
1373,Auto,Rulment Roata Fata Model 20,32,11,254.61,475.23,0.47
1374,Electronice,[Electronice] Sursa Laborator Model 74,37,20,196.06,244.36,0.15
1375,Hardware,Incarcator Gaz Model 35,9,11,36.27,86.07,0.476
1376,Electronice,[Electronice] Modul Transmisie LoRa Model 21,128,12,85.83,136.81,0.15
1377,Hardware,Set Imbusuri Model 40,0,16,196.88,382.54,0.126
1378,Hardware,Set Imbusuri Model 31,115,20,294.92,630.44,0.046
1379,Perisabile,[Perisabile] Adeziv Industrial Model 13,16,18,22.87,43.55,0.319
1380,Hardware,Cheie Dinamometrica Model 36,142,11,192.5,320.43,0.464
1381,Hardware,Cheie Dinamometrica Model 16,56,8,171.31,293.5,0.369
1382,Auto,Baterie 12V 70Ah Model 15,106,6,127.19,210.68,0.108
1383,Hardware,Cheie Dinamometrica Model 78,109,20,107.97,161.77,0.351
1384,Perisabile,[Perisabile] Spray Degripant Model 76,35,13,19.84,32.94,0.096
1385,Perisabile,[Perisabile] Spray Degripant Model 45,48,11,72.21,104.14,0.115
1386,Hardware,Incarcator Gaz Model 84,74,12,30.44,54.03,0.1
1387,Hardware,Cheie Dinamometrica Model 92,112,15,194.12,330.53,0.14
1388,Electronice,[Electronice] Sursa Laborator Model 9,55,15,84.88,155.07,0.01
1389,Electronice,[Electronice] Sursa Laborator Model 8,95,18,291.45,521.17,0.13
1390,Electronice,[Electronice] Sursa Laborator Model 58,70,9,199.12,482.03,0.14
1391,Auto,Filtru Aer Model 11,69,10,222.27,424.58,0.364
1392,Electronice,[Electronice] Osciloscop Model 50,115,17,22.65,30.66,0.343
1393,Electronice,[Electronice] Multimetru Analogic Model 93,48,15,244.23,514.88,0.132
1394,Electronice,[Electronice] Modul Transmisie LoRa Model 7,87,15,11.23,27.82,0.301
1395,Perisabile,[Perisabile] Spray Degripant Model 31,4,9,290.57,526.92,0.092
1396,Auto,Senzor Debitmetru Model 11,50,9,289.52,413.84,0.084
1397,Hardware,Incarcator Gaz Model 26,146,9,275.04,512.86,0.033
1398,Hardware,Cheie Dinamometrica Model 18,57,8,181.57,340.58,0.339
1399,Auto,Baterie 12V 70Ah Model 26,35,14,58.95,119.56,0.371
1400,Perisabile,[Perisabile] Solutie Curatare Frane Model 75,143,17,158.16,210.22,0.44
1401,Hardware,Trusa Tubulare Model 13,141,17,237.97,338.87,0.138
1402,Electronice,[Electronice] Sursa Laborator Model 39,41,12,295.22,403.51,0.282
1403,Hardware,Set Imbusuri Model 68,47,16,194.66,262.14,0.405
1404,Perisabile,[Perisabile] Solutie Curatare Frane Model 13,95,19,227.86,377.4,0.075
1405,Auto,Furtun Intercooler 2.0 TDI Model 44,25,8,256.35,459.65,0.373
1406,Electronice,[Electronice] Sursa Laborator Model 30,19,19,230.58,432.94,0.217
1407,Perisabile,[Perisabile] Adeziv Industrial Model 29,42,17,93.91,179.68,0.222
1408,Perisabile,[Perisabile] Adeziv Industrial Model 3,137,11,191.42,465.0,0.019
1409,Hardware,Incarcator Gaz Model 26,24,5,62.17,93.05,0.193
1410,Electronice,[Electronice] Modul Transmisie LoRa Model 6,84,12,183.76,372.18,0.47
1411,Auto,Baterie 12V 70Ah Model 81,114,12,251.75,552.42,0.475
1412,Hardware,Trusa Tubulare Model 50,68,10,53.18,85.0,0.331
1413,Auto,Rulment Roata Fata Model 66,138,18,80.55,186.07,0.152
1414,Electronice,[Electronice] Osciloscop Model 19,3,6,64.01,148.7,0.026
1415,Electronice,[Electronice] Multimetru Analogic Model 87,17,9,205.68,445.64,0.288
1416,Hardware,Trusa Tubulare Model 1,37,7,189.28,333.72,0.117
1417,Hardware,Set Imbusuri Model 68,3,5,11.0,17.61,0.468
1418,Perisabile,[Perisabile] Adeziv Industrial Model 64,12,11,153.54,328.52,0.031
1419,Electronice,[Electronice] Multimetru Analogic Model 75,21,11,236.33,565.66,0.292
1420,Perisabile,[Perisabile] Adeziv Industrial Model 44,9,17,20.49,44.29,0.258
1421,Hardware,Cheie Dinamometrica Model 78,137,14,43.18,66.49,0.031
1422,Perisabile,[Perisabile] Spray Degripant Model 51,116,6,17.19,30.5,0.426
1423,Perisabile,[Perisabile] Spray Degripant Model 43,104,8,245.1,591.27,0.032
1424,Perisabile,[Perisabile] Spray Degripant Model 12,27,16,77.71,173.23,0.109
1425,Hardware,Trusa Tubulare Model 92,15,6,197.15,240.29,0.391
1426,Auto,Baterie 12V 70Ah Model 53,135,17,165.94,207.24,0.017
1427,Auto,Rulment Roata Fata Model 84,50,11,279.21,430.62,0.483
1428,Hardware,Cheie Dinamometrica Model 74,71,18,196.53,468.78,0.375
1429,Electronice,[Electronice] Sursa Laborator Model 65,66,14,254.81,507.8,0.431
1430,Auto,Furtun Intercooler 2.0 TDI Model 49,95,10,87.82,161.87,0.286
1431,Electronice,[Electronice] Modul Transmisie LoRa Model 64,17,20,86.52,126.22,0.466
1432,Electronice,[Electronice] Multimetru Analogic Model 24,101,10,24.41,35.12,0.384
1433,Hardware,Cheie Dinamometrica Model 34,100,14,292.68,533.09,0.026
1434,Auto,Filtru Aer Model 96,39,10,282.19,663.24,0.307
1435,Hardware,Trusa Tubulare Model 23,2,16,82.93,119.39,0.395
1436,Perisabile,[Perisabile] Spray Degripant Model 13,24,7,101.62,188.96,0.309
1437,Auto,Set Placute Frana Model 24,4,8,114.86,233.59,0.275
1438,Perisabile,[Perisabile] Spray Degripant Model 12,128,16,129.97,198.75,0.47
1439,Auto,Filtru Aer Model 50,104,7,20.94,35.6,0.122
1440,Auto,Baterie 12V 70Ah Model 98,91,17,176.86,299.93,0.412
1441,Electronice,[Electronice] Multimetru Analogic Model 91,16,12,32.26,77.91,0.162
1442,Perisabile,[Perisabile] Adeziv Industrial Model 8,130,12,251.88,385.29,0.444
1443,Auto,Baterie 12V 70Ah Model 24,18,5,168.21,399.22,0.205
1444,Hardware,Cheie Dinamometrica Model 1,42,13,296.9,677.83,0.103
1445,Perisabile,[Perisabile] Spray Degripant Model 53,135,5,79.06,114.24,0.273
1446,Electronice,[Electronice] Multimetru Analogic Model 60,136,6,215.72,480.47,0.491
1447,Hardware,Cheie Dinamometrica Model 40,34,9,125.04,197.5,0.415
1448,Perisabile,[Perisabile] Adeziv Industrial Model 75,122,13,204.42,455.16,0.066
1449,Electronice,[Electronice] Sursa Laborator Model 79,142,15,38.38,94.39,0.451
1450,Perisabile,[Perisabile] Solutie Curatare Frane Model 56,51,9,78.31,105.86,0.391
1451,Hardware,Trusa Tubulare Model 84,86,12,159.18,258.72,0.343
1452,Perisabile,[Perisabile] Spray Degripant Model 1,84,17,116.89,168.34,0.258
1453,Perisabile,[Perisabile] Solutie Curatare Frane Model 26,74,15,138.79,190.45,0.264
1454,Perisabile,[Perisabile] Spray Degripant Model 13,4,7,143.06,256.33,0.205
1455,Electronice,[Electronice] Osciloscop Model 73,0,10,145.61,180.3,0.474
1456,Electronice,[Electronice] Multimetru Analogic Model 5,2,14,231.83,319.45,0.214
1457,Hardware,Cheie Dinamometrica Model 34,88,6,192.43,413.37,0.389
1458,Hardware,Set Imbusuri Model 66,105,6,229.33,276.6,0.056
1459,Auto,Rulment Roata Fata Model 88,125,14,277.79,555.72,0.303
1460,Auto,Rulment Roata Fata Model 57,138,12,116.85,147.3,0.362
1461,Perisabile,[Perisabile] Solutie Curatare Frane Model 43,117,16,80.5,161.47,0.215
1462,Perisabile,[Perisabile] Solutie Curatare Frane Model 1,146,5,28.5,53.18,0.341
1463,Electronice,[Electronice] Osciloscop Model 94,23,9,130.25,289.08,0.094
1464,Electronice,[Electronice] Sursa Laborator Model 53,0,17,269.32,417.68,0.49
1465,Auto,Set Placute Frana Model 41,23,11,207.22,489.32,0.463
1466,Hardware,Cheie Dinamometrica Model 6,6,14,299.0,368.96,0.066
1467,Auto,Set Placute Frana Model 11,147,11,227.8,332.19,0.1
1468,Electronice,[Electronice] Modul Transmisie LoRa Model 11,87,11,286.16,496.45,0.018
1469,Hardware,Set Imbusuri Model 76,128,20,110.14,178.08,0.488
1470,Hardware,Set Imbusuri Model 26,52,14,187.44,361.64,0.151
1471,Electronice,[Electronice] Multimetru Analogic Model 84,99,7,257.41,506.46,0.186
1472,Perisabile,[Perisabile] Adeziv Industrial Model 57,121,14,175.63,345.24,0.256
1473,Perisabile,[Perisabile] Adeziv Industrial Model 74,149,10,181.88,288.68,0.365
1474,Auto,Baterie 12V 70Ah Model 48,80,8,31.69,42.94,0.026
1475,Hardware,Incarcator Gaz Model 56,20,9,99.9,219.37,0.286
1476,Electronice,[Electronice] Multimetru Analogic Model 44,97,15,170.0,361.73,0.177
1477,Auto,Rulment Roata Fata Model 78,44,15,253.87,574.43,0.256
1478,Electronice,[Electronice] Sursa Laborator Model 2,15,16,290.77,633.66,0.294
1479,Auto,Set Placute Frana Model 98,5,16,147.93,326.93,0.247
1480,Hardware,Cheie Dinamometrica Model 28,16,8,118.83,248.2,0.315
1481,Auto,Senzor Debitmetru Model 97,45,9,299.84,549.38,0.35
1482,Electronice,[Electronice] Multimetru Analogic Model 4,33,12,240.3,441.93,0.199
1483,Electronice,[Electronice] Sursa Laborator Model 38,36,9,98.19,178.59,0.134
1484,Hardware,Trusa Tubulare Model 85,60,5,106.32,140.09,0.434
1485,Auto,Baterie 12V 70Ah Model 26,53,17,254.78,368.0,0.175
1486,Perisabile,[Perisabile] Solutie Curatare Frane Model 68,23,16,82.73,118.7,0.024
1487,Auto,Furtun Intercooler 2.0 TDI Model 13,38,11,272.18,411.38,0.221
1488,Hardware,Trusa Tubulare Model 52,85,8,82.24,113.24,0.264
1489,Perisabile,[Perisabile] Spray Degripant Model 42,111,18,167.39,250.34,0.309
1490,Hardware,Trusa Tubulare Model 73,40,7,276.85,502.68,0.134
1491,Auto,Furtun Intercooler 2.0 TDI Model 90,86,7,65.3,117.21,0.317
1492,Auto,Set Placute Frana Model 93,110,16,247.0,310.6,0.315
1493,Perisabile,[Perisabile] Adeziv Industrial Model 61,125,11,68.35,145.51,0.104
1494,Electronice,[Electronice] Modul Transmisie LoRa Model 20,140,20,270.94,351.63,0.088
1495,Auto,Furtun Intercooler 2.0 TDI Model 17,122,10,130.29,287.73,0.404
1496,Auto,Set Placute Frana Model 42,66,17,120.5,145.7,0.287
1497,Auto,Set Placute Frana Model 20,14,15,74.03,118.8,0.05
1498,Perisabile,[Perisabile] Spray Degripant Model 57,145,19,235.21,372.43,0.46
1499,Auto,Senzor Debitmetru Model 70,114,20,226.86,483.75,0.108
1500,Perisabile,[Perisabile] Adeziv Industrial Model 63,75,11,70.34,150.56,0.206
1501,Perisabile,[Perisabile] Adeziv Industrial Model 29,30,7,89.33,198.08,0.261
1502,Hardware,Cheie Dinamometrica Model 57,75,5,254.26,611.27,0.235
1503,Electronice,[Electronice] Sursa Laborator Model 11,38,6,68.82,129.79,0.473
1504,Hardware,Trusa Tubulare Model 26,140,6,140.91,240.54,0.042
1505,Perisabile,[Perisabile] Adeziv Industrial Model 52,115,7,117.41,225.26,0.084
1506,Hardware,Set Imbusuri Model 74,97,15,238.69,331.06,0.458
1507,Auto,Filtru Aer Model 81,109,12,203.05,382.76,0.316
1508,Perisabile,[Perisabile] Adeziv Industrial Model 79,45,13,163.43,295.33,0.055
1509,Perisabile,[Perisabile] Spray Degripant Model 62,117,7,265.68,642.75,0.37
1510,Perisabile,[Perisabile] Spray Degripant Model 47,64,19,132.24,223.05,0.496
1511,Hardware,Trusa Tubulare Model 14,109,5,123.85,285.3,0.441
1512,Electronice,[Electronice] Modul Transmisie LoRa Model 79,85,15,252.76,504.72,0.479
1513,Perisabile,[Perisabile] Solutie Curatare Frane Model 3,109,17,259.3,311.78,0.464
1514,Auto,Senzor Debitmetru Model 63,94,13,28.53,46.25,0.115
1515,Hardware,Cheie Dinamometrica Model 75,139,11,293.25,703.06,0.488
1516,Perisabile,[Perisabile] Solutie Curatare Frane Model 83,131,12,109.56,148.66,0.108
1517,Electronice,[Electronice] Modul Transmisie LoRa Model 37,112,10,34.88,85.83,0.092
1518,Perisabile,[Perisabile] Solutie Curatare Frane Model 47,125,7,60.82,76.72,0.376
1519,Electronice,[Electronice] Multimetru Analogic Model 21,86,14,293.48,512.52,0.29
1520,Auto,Rulment Roata Fata Model 22,112,5,102.61,254.89,0.01
1521,Hardware,Cheie Dinamometrica Model 65,44,5,136.33,295.11,0.478
1522,Hardware,Trusa Tubulare Model 93,97,16,155.45,206.25,0.456
1523,Auto,Rulment Roata Fata Model 42,106,10,15.19,20.65,0.223
1524,Hardware,Incarcator Gaz Model 50,125,20,242.52,317.6,0.381
1525,Electronice,[Electronice] Osciloscop Model 47,48,18,73.13,158.23,0.146
1526,Electronice,[Electronice] Sursa Laborator Model 38,13,20,121.53,277.64,0.057
1527,Hardware,Incarcator Gaz Model 91,55,14,155.72,382.03,0.109
1528,Hardware,Cheie Dinamometrica Model 64,93,15,29.8,51.23,0.173
1529,Hardware,Set Imbusuri Model 12,24,18,66.59,141.46,0.256
1530,Electronice,[Electronice] Osciloscop Model 26,51,6,162.93,242.96,0.357
1531,Auto,Baterie 12V 70Ah Model 5,137,10,110.0,200.12,0.312
1532,Auto,Senzor Debitmetru Model 58,107,17,247.09,573.77,0.337
1533,Auto,Furtun Intercooler 2.0 TDI Model 51,132,14,258.79,346.87,0.295
1534,Perisabile,[Perisabile] Spray Degripant Model 90,59,5,262.01,453.26,0.131
1535,Auto,Rulment Roata Fata Model 55,113,14,201.3,254.96,0.341
1536,Electronice,[Electronice] Multimetru Analogic Model 60,76,17,63.77,101.47,0.086
1537,Perisabile,[Perisabile] Solutie Curatare Frane Model 65,10,8,185.34,274.15,0.352
1538,Auto,Filtru Aer Model 96,8,13,287.67,405.63,0.275
1539,Hardware,Incarcator Gaz Model 11,4,17,56.93,75.28,0.295
1540,Perisabile,[Perisabile] Solutie Curatare Frane Model 22,33,17,211.52,466.62,0.49
1541,Auto,Furtun Intercooler 2.0 TDI Model 30,22,14,23.78,33.81,0.022
1542,Electronice,[Electronice] Multimetru Analogic Model 76,42,8,90.2,159.35,0.419
1543,Perisabile,[Perisabile] Adeziv Industrial Model 63,132,7,26.13,43.55,0.31
1544,Perisabile,[Perisabile] Solutie Curatare Frane Model 57,16,7,81.72,194.62,0.117
1545,Perisabile,[Perisabile] Spray Degripant Model 30,121,20,75.39,186.93,0.268
1546,Auto,Set Placute Frana Model 92,101,9,212.06,295.51,0.141
1547,Perisabile,[Perisabile] Spray Degripant Model 4,66,9,130.28,324.65,0.469
1548,Electronice,[Electronice] Modul Transmisie LoRa Model 93,57,8,47.44,98.5,0.038
1549,Hardware,Trusa Tubulare Model 55,72,15,94.37,143.36,0.263
1550,Auto,Set Placute Frana Model 54,134,13,99.76,194.81,0.086
1551,Electronice,[Electronice] Multimetru Analogic Model 8,65,20,221.85,385.23,0.432
1552,Perisabile,[Perisabile] Spray Degripant Model 24,98,10,207.74,435.76,0.036
1553,Hardware,Incarcator Gaz Model 7,129,14,296.52,418.08,0.267
1554,Auto,Senzor Debitmetru Model 55,67,6,124.68,215.95,0.382
1555,Perisabile,[Perisabile] Adeziv Industrial Model 80,132,18,141.82,282.74,0.387
1556,Electronice,[Electronice] Multimetru Analogic Model 32,78,16,80.54,164.65,0.461
1557,Electronice,[Electronice] Multimetru Analogic Model 50,37,6,95.99,212.76,0.458
1558,Auto,Rulment Roata Fata Model 48,54,13,131.49,305.24,0.443
1559,Hardware,Cheie Dinamometrica Model 74,82,7,225.39,354.4,0.467
1560,Auto,Set Placute Frana Model 68,53,5,58.95,93.49,0.011
1561,Hardware,Trusa Tubulare Model 30,104,6,182.32,341.68,0.361
1562,Electronice,[Electronice] Multimetru Analogic Model 23,117,17,170.72,216.93,0.155
1563,Hardware,Incarcator Gaz Model 25,16,17,105.28,207.98,0.39
1564,Perisabile,[Perisabile] Adeziv Industrial Model 30,46,16,223.8,371.43,0.396
1565,Perisabile,[Perisabile] Spray Degripant Model 20,64,10,157.53,320.58,0.357
1566,Auto,Furtun Intercooler 2.0 TDI Model 7,9,12,145.89,195.17,0.18
1567,Auto,Baterie 12V 70Ah Model 67,45,13,212.54,366.71,0.263
1568,Hardware,Cheie Dinamometrica Model 17,63,9,127.85,295.81,0.434
1569,Perisabile,[Perisabile] Adeziv Industrial Model 14,29,8,119.79,156.8,0.388
1570,Electronice,[Electronice] Osciloscop Model 73,116,14,152.49,192.22,0.102
1571,Electronice,[Electronice] Osciloscop Model 54,137,14,98.51,224.19,0.063
1572,Electronice,[Electronice] Modul Transmisie LoRa Model 97,98,15,285.77,459.28,0.489
1573,Hardware,Trusa Tubulare Model 91,46,8,109.45,272.56,0.446
1574,Hardware,Cheie Dinamometrica Model 97,18,17,137.32,267.26,0.334
1575,Electronice,[Electronice] Sursa Laborator Model 26,62,5,219.88,536.43,0.322
1576,Electronice,[Electronice] Multimetru Analogic Model 82,9,13,32.45,74.35,0.279
1577,Electronice,[Electronice] Osciloscop Model 87,137,19,69.65,119.19,0.208
1578,Perisabile,[Perisabile] Solutie Curatare Frane Model 66,25,10,278.97,502.58,0.408
1579,Perisabile,[Perisabile] Adeziv Industrial Model 23,111,20,162.17,243.47,0.08
1580,Perisabile,[Perisabile] Spray Degripant Model 23,2,19,294.2,664.39,0.286
1581,Perisabile,[Perisabile] Spray Degripant Model 38,7,6,248.37,597.57,0.383
1582,Hardware,Cheie Dinamometrica Model 5,28,10,132.74,321.27,0.021
1583,Electronice,[Electronice] Multimetru Analogic Model 90,147,20,216.43,408.87,0.086
1584,Auto,Baterie 12V 70Ah Model 30,93,18,67.77,140.35,0.317
1585,Perisabile,[Perisabile] Solutie Curatare Frane Model 46,71,15,287.02,360.49,0.073
1586,Hardware,Cheie Dinamometrica Model 36,130,6,191.43,444.33,0.465
1587,Electronice,[Electronice] Multimetru Analogic Model 67,120,8,42.96,76.02,0.488
1588,Perisabile,[Perisabile] Adeziv Industrial Model 37,99,11,30.68,69.65,0.416
1589,Perisabile,[Perisabile] Spray Degripant Model 77,2,20,120.23,261.27,0.494
1590,Perisabile,[Perisabile] Spray Degripant Model 35,150,12,75.47,184.35,0.36
1591,Electronice,[Electronice] Modul Transmisie LoRa Model 25,52,11,150.68,304.59,0.338
1592,Electronice,[Electronice] Sursa Laborator Model 37,74,5,71.23,114.17,0.151
1593,Perisabile,[Perisabile] Spray Degripant Model 9,64,7,66.37,84.01,0.482
1594,Perisabile,[Perisabile] Adeziv Industrial Model 27,16,10,123.19,226.81,0.218
1595,Auto,Filtru Aer Model 47,30,15,67.41,155.02,0.393
1596,Auto,Baterie 12V 70Ah Model 86,83,8,295.39,501.25,0.13
1597,Perisabile,[Perisabile] Adeziv Industrial Model 18,25,17,56.71,100.37,0.186
1598,Electronice,[Electronice] Modul Transmisie LoRa Model 16,5,14,283.15,512.92,0.396
1599,Hardware,Trusa Tubulare Model 17,42,18,107.97,227.88,0.383
1600,Auto,Senzor Debitmetru Model 73,114,8,125.1,216.5,0.282
1601,Auto,Senzor Debitmetru Model 69,54,6,289.0,536.92,0.222
1602,Perisabile,[Perisabile] Spray Degripant Model 31,43,11,229.92,358.61,0.105
1603,Auto,Baterie 12V 70Ah Model 43,42,16,14.67,22.43,0.289
1604,Electronice,[Electronice] Sursa Laborator Model 39,54,13,226.55,465.16,0.339
1605,Electronice,[Electronice] Osciloscop Model 65,35,16,258.59,533.63,0.351
1606,Perisabile,[Perisabile] Solutie Curatare Frane Model 70,27,10,28.62,48.52,0.216
1607,Hardware,Incarcator Gaz Model 11,46,14,138.98,218.89,0.38
1608,Perisabile,[Perisabile] Spray Degripant Model 90,128,11,182.18,264.52,0.301
1609,Hardware,Cheie Dinamometrica Model 75,74,11,299.57,498.18,0.061
1610,Hardware,Trusa Tubulare Model 64,80,12,130.72,160.39,0.12
1611,Electronice,[Electronice] Osciloscop Model 63,123,11,137.36,300.19,0.274
1612,Perisabile,[Perisabile] Adeziv Industrial Model 25,109,11,10.79,17.27,0.067
1613,Hardware,Cheie Dinamometrica Model 37,54,7,164.7,353.26,0.023
1614,Perisabile,[Perisabile] Solutie Curatare Frane Model 85,139,12,290.83,409.36,0.148
1615,Auto,Set Placute Frana Model 67,66,17,245.29,585.32,0.47
1616,Hardware,Trusa Tubulare Model 83,15,9,177.68,340.93,0.475
1617,Hardware,Trusa Tubulare Model 38,10,6,97.61,217.78,0.452
1618,Hardware,Trusa Tubulare Model 53,111,16,80.25,145.39,0.46
1619,Perisabile,[Perisabile] Adeziv Industrial Model 90,29,6,92.45,184.47,0.424
1620,Hardware,Cheie Dinamometrica Model 41,117,14,111.4,245.26,0.072
1621,Perisabile,[Perisabile] Adeziv Industrial Model 94,138,13,175.67,357.44,0.212
1622,Perisabile,[Perisabile] Adeziv Industrial Model 90,42,10,290.89,384.54,0.306
1623,Auto,Furtun Intercooler 2.0 TDI Model 87,122,17,247.89,514.17,0.388
1624,Electronice,[Electronice] Sursa Laborator Model 26,111,11,36.27,72.13,0.472
1625,Electronice,[Electronice] Multimetru Analogic Model 63,34,5,226.12,555.71,0.17
1626,Perisabile,[Perisabile] Spray Degripant Model 45,47,17,95.01,170.7,0.344
1627,Perisabile,[Perisabile] Adeziv Industrial Model 14,30,7,213.97,353.9,0.428
1628,Perisabile,[Perisabile] Solutie Curatare Frane Model 90,18,20,211.82,360.13,0.13
1629,Perisabile,[Perisabile] Solutie Curatare Frane Model 36,147,5,146.57,233.24,0.011
1630,Hardware,Cheie Dinamometrica Model 36,83,5,268.88,480.21,0.059
1631,Perisabile,[Perisabile] Solutie Curatare Frane Model 39,78,7,187.83,241.13,0.242
1632,Hardware,Trusa Tubulare Model 5,62,15,131.25,185.19,0.137
1633,Perisabile,[Perisabile] Adeziv Industrial Model 58,115,13,267.15,320.86,0.305
1634,Auto,Senzor Debitmetru Model 15,133,17,83.55,152.7,0.183
1635,Perisabile,[Perisabile] Solutie Curatare Frane Model 92,23,20,132.85,167.07,0.28
1636,Auto,Rulment Roata Fata Model 36,62,6,46.27,83.68,0.455
1637,Electronice,[Electronice] Sursa Laborator Model 50,94,6,64.5,125.59,0.072
1638,Perisabile,[Perisabile] Adeziv Industrial Model 31,142,14,60.87,118.14,0.07
1639,Perisabile,[Perisabile] Solutie Curatare Frane Model 41,137,6,122.06,205.13,0.048
1640,Electronice,[Electronice] Multimetru Analogic Model 39,68,12,209.45,483.57,0.354
1641,Electronice,[Electronice] Sursa Laborator Model 30,121,5,79.88,177.82,0.13
1642,Hardware,Incarcator Gaz Model 98,135,20,131.81,264.31,0.022
1643,Perisabile,[Perisabile] Adeziv Industrial Model 45,67,20,142.11,200.62,0.359
1644,Auto,Set Placute Frana Model 26,83,6,92.94,166.08,0.092
1645,Auto,Filtru Aer Model 5,84,17,207.24,327.14,0.055
1646,Perisabile,[Perisabile] Solutie Curatare Frane Model 73,13,7,67.85,156.33,0.436
1647,Hardware,Incarcator Gaz Model 7,71,7,155.62,307.0,0.385
1648,Electronice,[Electronice] Sursa Laborator Model 86,65,11,127.85,217.32,0.098
1649,Electronice,[Electronice] Osciloscop Model 84,128,8,254.85,569.43,0.393
1650,Perisabile,[Perisabile] Adeziv Industrial Model 91,110,18,125.87,305.61,0.297
1651,Hardware,Cheie Dinamometrica Model 95,144,9,212.93,370.03,0.276
1652,Electronice,[Electronice] Modul Transmisie LoRa Model 70,6,6,60.87,121.02,0.481
1653,Perisabile,[Perisabile] Adeziv Industrial Model 63,35,14,142.84,269.76,0.047
1654,Electronice,[Electronice] Osciloscop Model 4,83,11,146.45,198.19,0.314
1655,Hardware,Set Imbusuri Model 56,89,12,180.66,421.77,0.48
1656,Auto,Furtun Intercooler 2.0 TDI Model 45,48,5,220.7,267.42,0.027
1657,Auto,Filtru Aer Model 8,147,17,13.27,27.03,0.235
1658,Auto,Senzor Debitmetru Model 89,129,6,227.9,483.91,0.14
1659,Auto,Furtun Intercooler 2.0 TDI Model 51,0,5,204.29,294.83,0.187
1660,Electronice,[Electronice] Multimetru Analogic Model 19,5,14,159.86,283.29,0.023
1661,Electronice,[Electronice] Multimetru Analogic Model 74,30,16,281.18,391.94,0.211
1662,Auto,Furtun Intercooler 2.0 TDI Model 27,86,16,21.36,42.23,0.278
1663,Auto,Furtun Intercooler 2.0 TDI Model 54,29,9,58.01,76.48,0.424
1664,Perisabile,[Perisabile] Solutie Curatare Frane Model 28,77,14,222.6,544.45,0.149
1665,Auto,Rulment Roata Fata Model 98,79,20,19.61,40.53,0.045
1666,Electronice,[Electronice] Osciloscop Model 57,34,6,189.91,246.46,0.476
1667,Auto,Filtru Aer Model 18,144,8,140.37,311.5,0.044
1668,Auto,Furtun Intercooler 2.0 TDI Model 16,65,16,195.3,481.65,0.301
1669,Auto,Baterie 12V 70Ah Model 43,19,11,243.5,294.14,0.423
1670,Electronice,[Electronice] Sursa Laborator Model 84,63,18,170.1,324.76,0.196
1671,Auto,Senzor Debitmetru Model 64,92,16,38.57,81.38,0.126
1672,Hardware,Trusa Tubulare Model 72,86,14,21.12,41.06,0.329
1673,Hardware,Incarcator Gaz Model 31,83,14,14.0,20.66,0.12
1674,Auto,Baterie 12V 70Ah Model 60,114,10,242.06,429.59,0.377
1675,Hardware,Trusa Tubulare Model 82,28,16,267.17,473.55,0.187
1676,Perisabile,[Perisabile] Spray Degripant Model 73,35,11,234.46,474.88,0.229
1677,Hardware,Set Imbusuri Model 5,78,17,221.73,269.11,0.475
1678,Electronice,[Electronice] Modul Transmisie LoRa Model 90,50,12,235.33,312.73,0.156
1679,Auto,Rulment Roata Fata Model 25,132,6,296.8,629.41,0.369
1680,Electronice,[Electronice] Multimetru Analogic Model 73,24,13,234.75,480.61,0.083
1681,Perisabile,[Perisabile] Adeziv Industrial Model 97,149,5,86.4,210.92,0.306
1682,Auto,Senzor Debitmetru Model 93,121,15,228.55,499.6,0.336
1683,Perisabile,[Perisabile] Adeziv Industrial Model 77,3,14,125.07,269.99,0.029
1684,Perisabile,[Perisabile] Adeziv Industrial Model 23,87,7,285.59,476.3,0.414
1685,Hardware,Cheie Dinamometrica Model 96,105,10,164.54,260.66,0.491
1686,Perisabile,[Perisabile] Spray Degripant Model 74,107,11,171.59,310.58,0.169
1687,Auto,Set Placute Frana Model 90,82,12,156.77,281.44,0.349
1688,Perisabile,[Perisabile] Spray Degripant Model 3,108,5,123.1,260.58,0.111
1689,Hardware,Trusa Tubulare Model 79,128,14,232.71,374.21,0.304
1690,Perisabile,[Perisabile] Spray Degripant Model 30,77,18,137.05,312.44,0.434
1691,Hardware,Trusa Tubulare Model 5,115,9,162.82,261.56,0.213
